"ΥΠΟΥΡΓΕΙΟ ΠΟΛΙΤΙΣΜΟΥ"
"Οικονομικό έτος: 2026"
"Κωδικός Φορέα: 1022"
"Μείζονα κατηγορία","Ονομασία","2026"
21,"Παροχές σε εργαζομένους","161.398.000"
23,"Μεταβιβάσεις","86.288.000"
24,"Αγορές αγαθών και υπηρεσιών","27.423.000"
31,"Πάγια περιουσιακά στοιχεία","3.000.000"
"Σύνολο:","","278.109.000"
