Κωδικός,Κατηγορία,Ποσό
11101,Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ.,16571000000
11102,Φόροι προστιθέμενης αξίας που εισπράττονται από τελωνεία,8160000000
11103,Ειδικοί φόροι κατανάλωσης,7356000000
11104,Φόροι με μορφή χαρτοσήμου,398000000
11105,Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών,709000000
11106,Φόροι ταξινόμησης οχημάτων,466000000
11108,Λοιποί φόροι επί συγκεκριμένων υπηρεσιών,2351000000
11109,Λοιποί Φόροι επί αγαθών,211000000
11201,Δασμοί,432000000
11301,Τακτικοί φόροι επί της ιδιοκτησίας ακίνητης περιουσίας,2280000000
11401,Επιχειρηματικές και επαγγελματικές άδειες,325000000
11409,Διάφοροι άλλοι φόροι επί παραγωγής,249000000
11501,Φόρος εισοδήματος πληρωτέος από Φυσικά Πρόσωπα (ΦΠ),14979000000
11502,Φόρος εισοδήματος πληρωτέος από εταιρίες (ΝΠ),7139000000
11503,Φόροι επί κερδών διακράτησης,22000000
11504,Φόροι επί κερδών από λαχεία και τυχερά παίγνια,456000000
11505,Φόρος εισοδήματος κατοίκων αλλοδαπής,91000000
11506,Φόρος εισοδήματος ειδικών κατηγοριών,1747000000
11601,Φόροι κληρονομιών, γονικών παροχών και δωρεών,246000000
11901,Φόροι οχημάτων,1247000000
11902,Τρέχοντες φόροι επί κινητής περιουσίας,42000000
11903,Γενικές και ειδικές άδειες νοικοκυριών,79000000
11909,Διάφοροι άλλοι τρέχοντες φόροι,30000000
12201,Εισφορές εργαζομένων,60000000
13108,Μεταβιβάσεις από λοιπά νομικά πρόσωπα,279000000
13201,Τρέχουσες μεταβιβάσεις από τα Κοινοτικά Ταμεία,15000000
13301,Τρέχουσες μεταβιβάσεις από Διεθνείς Οργανισμούς,3000000
13309,Τρέχουσες μεταβιβάσεις από λοιπούς φορείς του εξωτερικού,7000000
13409,Λοιπές Επιχορηγήσεις επενδύσεων,30000000
13501,Επιχορηγήσεις επενδύσεων από κοινοτικά ταμεία,10520000000
13901,Έσοδα από επιστροφές καταπτώσεων εγγυήσεων,66000000
13909,Έσοδα από λοιπές κεφαλαιακές μεταβιβάσεις,23000000
14101,Πωλήσεις αγαθών,3000000
14201,Παροχή υγειονομικών υπηρεσιών,25000000
14203,Παροχή δικαστικών υπηρεσιών,41000000
14204,Παροχή υπηρεσιών ελέγχου,137000000
14206,Παροχή υπηρεσιών από τα προξενεία,72000000
14209,Λοιπές παρεχόμενες υπηρεσίες,31000000
14301,Μισθώματα κτιρίων και υποδομών,115000000
14309,Λοιπά μισθώματα,2000000
14401,Προμήθειες σε εισπράξεις-πληρωμές υπέρ τρίτων,139000000
14402,Προμήθειες για παροχή εγγυήσεων (πλην τραπεζών),419000000
14403,Προμήθειες από σχήματα στήριξης τραπεζών,20000000
14501,Παράβολα,195000000
14909,Έσοδα από λοιπές πωλήσεις,2000000
15101,Τόκοι καταθέσεων,226000000
15103,Τόκοι μακροπρόθεσμων τίτλων,62000000
15105,Τόκοι μακροπρόθεσμων δανείων,75000000
15201,Διανεμόμενο εισόδημα μετοχών εισηγμένων σε χρηματιστήριο,85000000
15202,Διανεμόμενο εισόδημα μετοχών μη εισηγμένων σε χρηματιστήριο,88000000
15203,Διανεμόμενο εισόδημα λοιπών συμμετοχών,113000000
15301,Ενοίκια πόρων υπεδάφους,3000000
15302,Ενοίκια γης,48000000
15309,Ενοίκια λοιπών φυσικών πόρων,8000000
15601,Φορολογικά πρόστιμα και προσαυξήσεις,870000000
15602,Τελωνειακά Πρόστιμα και προσαυξήσεις,27000000
15604,Καταλογισμοί,8000000
15609,Λοιπά πρόστιμα,226000000
15901,Επιστροφές αποδοχών,38000000
15903,Επιστροφές μεταβιβάσεων,384000000
15907,Επιστροφές λοιπών δαπανών,146000000
31103,Λοιπά κτίρια,46000000
31501,Γη,5000000
43202,Μακροπρόθεσμοι τίτλοι έκδοσης Δημόσιων Επιχειρήσεων,11000000
44102,Βραχυπρόθεσμα δάνεια προς ΝΠΙΔ,5340000000
44209,Λοιπά μακροπρόθεσμα δάνεια,185000000
45109,Λοιπές εισηγμένες μετοχές,92000000
45209,Λοιπές μη εισηγμένες μετοχές,136000000
52101,Υποχρεώσεις από κέρματα σε κυκλοφορία,63000000
53101,Βραχυπρόθεσμοι τίτλοι εσωτερικού,15875000000
53201,Μακροπρόθεσμοι τίτλοι εσωτερικού,8000000000
54101,Βραχυπρόθεσμα δάνεια εσωτερικού,1650000000000
54202,Μακροπρόθεσμα δάνεια εξωτερικού,4726000000
57101,Συμβάσεις ανταλλαγής,959000000
