"ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΑΤΤΙΚΗΣ"
"Οικονομικό έτος: 2026"
"Κωδικός Φορέα: 1901"
"Μείζονα κατηγορία","Ονομασία","2026"
21,"Παροχές σε εργαζομένους","11.407.000"
24,"Αγορές αγαθών και υπηρεσιών","2.585.000"
31,"Πάγια περιουσιακά στοιχεία","388.000"
"Σύνολο:","","14.380.000"
