Κωδικός,Κατηγορία,Ποσό
11,Φόροι,65586000000
12,Κοινωνικές εισφορές,60000000
13,Μεταβιβάσεις,10943000000
14,Πωλήσεις αγαθών και υπηρεσιών,1201000000
15,Λοιπά τρέχοντα έσοδα,2407000000
31,Πάγια περιουσιακά στοιχεία,51000000
43,Χρεωστικοί τίτλοι,11000000
44,Δάνεια,5525000000
45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,228000000
52,Υποχρεώσεις από νόμισμα και καταθέσεις,63000000
53,Χρεωστικοί τίτλοι (Υποχρεώσεις),23875000000
54,Δάνεια,1654726000000
57,Χρηματοοικονομικά παράγωγα,959000000
