"ΥΠΟΥΡΓΕΙΟ ΨΗΦΙΑΚΗΣ ΔΙΑΚΥΒΕΡΝΗΣΗΣ"
"Οικονομικό έτος: 2026"
"Κωδικός Φορέα: 1053"
"Μείζονα κατηγορία","Ονομασία","2026"
21,"Παροχές σε εργαζομένους","23.225.000"
23,"Μεταβιβάσεις","86.953.000"
24,"Αγορές αγαθών και υπηρεσιών","28.009.000"
25,"Επιδότησεις","15.000.000"
31,"Πάγια περιουσιακά στοιχεία","1.216.000"
"Σύνολο:","","154.403.000"
